Leverage_Ratio,Trial,Method,Param_Error
0.1,3,Lf_dual,0.03120288658950637
0.1,3,OLS,1.8044562069219479
0.1,3,Huber,1.8044562069219479
0.1,3,Cauchy,1.8044562069219479
0.1,3,Barron,0.5734538113939732
0.1,4,Lf_dual,0.03758104098183684
0.1,4,OLS,1.6699065098046058
0.1,4,Huber,0.028755666741088325
0.1,4,Cauchy,0.7803878405466729
0.1,4,Barron,0.7446028662025157
0.1,5,Lf_dual,0.02240520580470942
0.1,5,OLS,0.576492908519559
0.1,5,Huber,0.576492908519559
0.1,5,Cauchy,0.576492908519559
0.1,5,Barron,0.8723843039775206
0.1,6,Lf_dual,0.0267113787423262
0.1,6,OLS,1.6659086221207993
0.1,6,Huber,0.9554427110702131
0.1,6,Cauchy,1.6659086221207993
0.1,6,Barron,0.9382164120510464
0.1,7,Lf_dual,0.039089560269089156
0.1,7,OLS,1.708807613666191
0.1,7,Huber,0.5198786916676932
0.1,7,Cauchy,1.708807613666191
0.1,7,Barron,1.3966476796888185
0.1,8,Lf_dual,0.059577310978200834
0.1,8,OLS,1.256782178131008
0.1,8,Huber,0.03452069232353545
0.1,8,Cauchy,1.256782178131008
0.1,8,Barron,0.8386565689989326
0.1,9,Lf_dual,0.0439632735603132
0.1,9,OLS,1.340373669827048
0.1,9,Huber,1.340373669827048
0.1,9,Cauchy,1.340373669827048
0.1,9,Barron,0.8509406440102506
0.1,10,Lf_dual,0.031424733875299815
0.1,10,OLS,1.2321896781859416
0.1,10,Huber,0.03344325730054656
0.1,10,Cauchy,1.2321896781859416
0.1,10,Barron,0.4522667785065802
0.1,11,Lf_dual,0.02909361449963591
0.1,11,OLS,0.9228501300361892
0.1,11,Huber,0.9228501300361892
0.1,11,Cauchy,0.9228501300361892
0.1,11,Barron,1.2497394795082757
0.1,12,Lf_dual,0.03696035346417073
0.1,12,OLS,1.5214772980363251
0.1,12,Huber,1.5214772980363251
0.1,12,Cauchy,1.5214772980363251
0.1,12,Barron,1.6739788879225561
0.1,13,Lf_dual,0.044983662549077756
0.1,13,OLS,0.7405347144707066
0.1,13,Huber,0.7405347144707066
0.1,13,Cauchy,0.7405347144707066
0.1,13,Barron,0.4978509240946543
0.1,14,Lf_dual,0.05461336854913348
0.1,14,OLS,0.9892854607649638
0.1,14,Huber,0.9892854607649638
0.1,14,Cauchy,0.9892854607649638
0.1,14,Barron,1.3898605654623923
0.1,15,Lf_dual,0.0408622007544371
0.1,15,OLS,1.397673279636035
0.1,15,Huber,0.12604411232812768
0.1,15,Cauchy,1.397673279636035
0.1,15,Barron,1.288256540013131
0.1,16,Lf_dual,0.04310701206708588
0.1,16,OLS,1.4682955209743644
0.1,16,Huber,1.4682955209743644
0.1,16,Cauchy,1.4682955209743644
0.1,16,Barron,0.9600826261069743
0.1,17,Lf_dual,0.031147545361910126
0.1,17,OLS,1.1716914319246199
0.1,17,Huber,1.1716914319246199
0.1,17,Cauchy,1.1716914319246199
0.1,17,Barron,1.5550761451841797
0.1,18,Lf_dual,0.04334707585880308
0.1,18,OLS,1.4830000266000696
0.1,18,Huber,1.4830000266000696
0.1,18,Cauchy,1.4830000266000696
0.1,18,Barron,1.1773777341621645
0.1,19,Lf_dual,0.02719637584303479
0.1,19,OLS,0.7070567667545182
0.1,19,Huber,0.7070567667545182
0.1,19,Cauchy,0.7070567667545182
0.1,19,Barron,0.7953179828083589
0.15,0,Lf_dual,0.046372735430587016
0.15,0,OLS,1.3915639140139933
0.15,0,Huber,1.3915639140139933
0.15,0,Cauchy,1.3915639140139933
0.15,0,Barron,1.4455560292779541
0.15,1,Lf_dual,0.05778179925221971
0.15,1,OLS,1.3456155566097825
0.15,1,Huber,0.12873793592400912
0.15,1,Cauchy,1.3456155566097825
0.15,1,Barron,1.4827763326101917
0.15,2,Lf_dual,0.03608895080062725
0.15,2,OLS,1.5888517184914566
0.15,2,Huber,0.02711657047998425
0.15,2,Cauchy,0.6561557327731843
0.15,2,Barron,0.746047357159494
0.15,3,Lf_dual,0.6960231772019723
0.15,3,OLS,1.0270823099924578
0.15,3,Huber,0.5146650003897996
0.15,3,Cauchy,1.0270823099924578
0.15,3,Barron,0.9694974909944579
0.15,4,Lf_dual,0.03418456213341373
0.15,4,OLS,1.7390103229282854
0.15,4,Huber,1.7390103229282854
0.15,4,Cauchy,1.7390103229282854
0.15,4,Barron,1.3446132571610345
0.15,5,Lf_dual,0.07262871242909945
0.15,5,OLS,1.0797209327457926
0.15,5,Huber,0.05362858531840049
0.15,5,Cauchy,1.0797209327457926
0.15,5,Barron,1.34211066524346
0.15,6,Lf_dual,0.039000690873173635
0.15,6,OLS,1.185395210684996
0.15,6,Huber,0.4077996232843382
0.15,6,Cauchy,1.185395210684996
0.15,6,Barron,1.007323823033439
0.15,7,Lf_dual,0.09785592900716444
0.15,7,OLS,1.2814354422669954
0.15,7,Huber,1.2814354422669954
0.15,7,Cauchy,1.2814354422669954
0.15,7,Barron,0.9311365422873202
0.15,8,Lf_dual,0.055465079717025446
0.15,8,OLS,1.2077080149611652
0.15,8,Huber,0.3311971623022842
0.15,8,Cauchy,1.2077080149611652
0.15,8,Barron,0.6757150141966053
0.15,9,Lf_dual,0.05889603230950764
0.15,9,OLS,0.843072242476599
0.15,9,Huber,0.843072242476599
0.15,9,Cauchy,0.843072242476599
0.15,9,Barron,1.697039272729314
0.15,10,Lf_dual,0.0402955385149257
0.15,10,OLS,1.5469344676804289
0.15,10,Huber,1.5469344676804289
0.15,10,Cauchy,1.5469344676804289
0.15,10,Barron,0.9272082137790768
0.15,11,Lf_dual,0.03285349254431737
0.15,11,OLS,0.8617767509785783
0.15,11,Huber,0.8617767509785783
0.15,11,Cauchy,0.8617767509785783
0.15,11,Barron,1.184390258632424
0.15,12,Lf_dual,0.07620252600313199
0.15,12,OLS,0.9175681192466062
0.15,12,Huber,0.5931000545908099
0.15,12,Cauchy,0.9175681192466062
0.15,12,Barron,0.6470290564958944
0.15,13,Lf_dual,0.03736203519560427
0.15,13,OLS,1.341876826547163
0.15,13,Huber,1.341876826547163
0.15,13,Cauchy,1.341876826547163
0.15,13,Barron,0.597828689751297
0.15,14,Lf_dual,0.03748473202597306
0.15,14,OLS,1.3614114468924867
0.15,14,Huber,0.44060916547866363
0.15,14,Cauchy,1.3614114468924867
0.15,14,Barron,0.968028611035379
0.15,15,Lf_dual,0.03792095477922567
0.15,15,OLS,0.9315220931161946
0.15,15,Huber,0.9315220931161946
0.15,15,Cauchy,0.9315220931161946
0.15,15,Barron,0.6511916733349693
0.15,16,Lf_dual,0.07696954265904431
0.15,16,OLS,1.5059886516450802
0.15,16,Huber,1.5059886516450802
0.15,16,Cauchy,1.5059886516450802
0.15,16,Barron,1.4240342814604603
0.15,17,Lf_dual,0.04107712296354938
0.15,17,OLS,0.7040887998120228
0.15,17,Huber,0.7040887998120228
0.15,17,Cauchy,0.7040887998120228
0.15,17,Barron,0.6597942059724844
0.15,18,Lf_dual,0.037460868648342534
0.15,18,OLS,1.348201096481654
0.15,18,Huber,1.348201096481654
0.15,18,Cauchy,1.348201096481654
0.15,18,Barron,1.5041633423603316
