n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,8.0,0.1,13,Huber,0.8166124380868244
100,5,8.0,0.1,13,Cauchy,1.620796112175889
100,5,8.0,0.1,13,Barron,1.1436156465524758
100,5,8.0,0.1,14,Lf_dual,0.03283968617704403
100,5,8.0,0.1,14,OLS,0.49006134228750325
100,5,8.0,0.1,14,Huber,0.49006134228750325
100,5,8.0,0.1,14,Cauchy,0.49006134228750325
100,5,8.0,0.1,14,Barron,0.5185329774817621
100,5,8.0,0.1,15,Lf_dual,0.04274195668705857
100,5,8.0,0.1,15,OLS,1.0655697820905343
100,5,8.0,0.1,15,Huber,0.3800895665402731
100,5,8.0,0.1,15,Cauchy,1.0655697820905343
100,5,8.0,0.1,15,Barron,0.4206426600009444
100,5,8.0,0.1,16,Lf_dual,0.05218756828805
100,5,8.0,0.1,16,OLS,1.2722376576661607
100,5,8.0,0.1,16,Huber,0.6534976212681646
100,5,8.0,0.1,16,Cauchy,1.2722376576661607
100,5,8.0,0.1,16,Barron,1.2003735734331316
100,5,8.0,0.1,17,Lf_dual,0.027112933966328422
100,5,8.0,0.1,17,OLS,1.5802770722913007
100,5,8.0,0.1,17,Huber,1.5802770722913007
100,5,8.0,0.1,17,Cauchy,0.6232143643166299
100,5,8.0,0.1,17,Barron,0.2724911103850123
100,5,8.0,0.1,18,Lf_dual,0.04318605184565875
100,5,8.0,0.1,18,OLS,0.8372631919445385
100,5,8.0,0.1,18,Huber,0.04252441534113238
100,5,8.0,0.1,18,Cauchy,0.8372631919445385
100,5,8.0,0.1,18,Barron,1.3037517798557332
100,5,8.0,0.1,19,Lf_dual,0.04528072507192729
100,5,8.0,0.1,19,OLS,1.0962026673841716
100,5,8.0,0.1,19,Huber,0.045523610717276786
100,5,8.0,0.1,19,Cauchy,1.0962026673841716
100,5,8.0,0.1,19,Barron,0.6806272049195874
100,5,8.0,0.2,0,Lf_dual,0.08407570441599074
100,5,8.0,0.2,0,OLS,1.0977201023824243
100,5,8.0,0.2,0,Huber,1.0977201023824243
100,5,8.0,0.2,0,Cauchy,1.0977201023824243
100,5,8.0,0.2,0,Barron,1.184502358954107
100,5,8.0,0.2,1,Lf_dual,0.567932392090381
100,5,8.0,0.2,1,OLS,0.8760105544054847
100,5,8.0,0.2,1,Huber,0.8760105544054847
100,5,8.0,0.2,1,Cauchy,0.8760105544054847
100,5,8.0,0.2,1,Barron,0.7208194920931152
100,5,8.0,0.2,2,Lf_dual,0.04441043868370983
100,5,8.0,0.2,2,OLS,0.7156722695925745
100,5,8.0,0.2,2,Huber,0.08852127321174388
100,5,8.0,0.2,2,Cauchy,0.7156722695925745
100,5,8.0,0.2,2,Barron,0.39089185707928154
100,5,8.0,0.2,3,Lf_dual,0.06525746514289515
100,5,8.0,0.2,3,OLS,0.5166927270379974
100,5,8.0,0.2,3,Huber,0.1926996432803496
100,5,8.0,0.2,3,Cauchy,0.5166927270379974
100,5,8.0,0.2,3,Barron,0.4347424295542106
100,5,8.0,0.2,4,Lf_dual,0.0571345617837508
100,5,8.0,0.2,4,OLS,0.8452008790338521
100,5,8.0,0.2,4,Huber,0.46371512508951884
100,5,8.0,0.2,4,Cauchy,0.8452008790338521
100,5,8.0,0.2,4,Barron,0.9253183825501182
100,5,8.0,0.2,5,Lf_dual,0.06803562238221439
100,5,8.0,0.2,5,OLS,1.6307896255769696
100,5,8.0,0.2,5,Huber,1.2997471764036608
100,5,8.0,0.2,5,Cauchy,1.6307896255769696
100,5,8.0,0.2,5,Barron,2.039717137515544
100,5,8.0,0.2,6,Lf_dual,0.057962223967819734
100,5,8.0,0.2,6,OLS,0.5270638087697346
100,5,8.0,0.2,6,Huber,0.11350524357110127
100,5,8.0,0.2,6,Cauchy,0.5270638087697346
100,5,8.0,0.2,6,Barron,1.6765711747825272
100,5,8.0,0.2,7,Lf_dual,0.09825792549810268
100,5,8.0,0.2,7,OLS,1.2246692642016417
100,5,8.0,0.2,7,Huber,0.01837731364243722
100,5,8.0,0.2,7,Cauchy,0.5256216773745642
100,5,8.0,0.2,7,Barron,1.2099196208956549
100,5,8.0,0.2,8,Lf_dual,0.031270066552788967
100,5,8.0,0.2,8,OLS,0.309082004258816
100,5,8.0,0.2,8,Huber,0.23849208747652392
100,5,8.0,0.2,8,Cauchy,0.309082004258816
100,5,8.0,0.2,8,Barron,0.2631961077712101
100,5,8.0,0.2,9,Lf_dual,0.1142963920415913
100,5,8.0,0.2,9,OLS,0.6075483901418598
100,5,8.0,0.2,9,Huber,0.07127599479501584
100,5,8.0,0.2,9,Cauchy,0.6075483901418598
100,5,8.0,0.2,9,Barron,0.7995394548669672
100,5,8.0,0.2,10,Lf_dual,0.03587826431938325
100,5,8.0,0.2,10,OLS,0.6387823648713926
100,5,8.0,0.2,10,Huber,0.06661594844881831
100,5,8.0,0.2,10,Cauchy,0.6387823648713926
100,5,8.0,0.2,10,Barron,0.8806019533067622
100,5,8.0,0.2,11,Lf_dual,0.06254089758166857
100,5,8.0,0.2,11,OLS,0.9291808040319789
100,5,8.0,0.2,11,Huber,0.13291984442216723
100,5,8.0,0.2,11,Cauchy,0.9291808040319789
100,5,8.0,0.2,11,Barron,1.7027601741821374
100,5,8.0,0.2,12,Lf_dual,0.04922476746297821
100,5,8.0,0.2,12,OLS,1.6278834247763212
100,5,8.0,0.2,12,Huber,1.6278834247763212
100,5,8.0,0.2,12,Cauchy,1.6278834247763212
100,5,8.0,0.2,12,Barron,1.4396316392145823
100,5,8.0,0.2,13,Lf_dual,0.08355485504893681
100,5,8.0,0.2,13,OLS,1.5061867070271238
