Dataset,Outlier_Frac,Trial,re_new,re_pub
Lanczos3,0.1,8,1.300568796165204,1.300568796165178
Lanczos3,0.1,9,558.5982185748945,558.5982185736464
Lanczos3,0.1,10,26.48211818060488,26.482118180604864
Lanczos3,0.1,11,3.8000798233385726,3.8000798233267137
Lanczos3,0.1,12,16.23955414140214,16.239554141846416
Lanczos3,0.1,13,7.111272674293713,7.111272673898724
Lanczos3,0.1,14,5974.721769729164,5974.721769441093
Lanczos3,0.1,15,2.362620098371893,2.3626200936169504
Lanczos3,0.1,16,5.732135276888074,5.732135276888078
Lanczos3,0.1,17,1509.7504235252227,1509.7504235961042
Lanczos3,0.1,18,11.983719703200846,11.98371970320204
Lanczos3,0.1,19,1930.6045994566439,1930.6045995185452
Lanczos3,0.2,0,6.098373045337458,6.487069716292618
Lanczos3,0.2,1,16.63275952576597,16.63275952576581
Lanczos3,0.2,2,3.053559858601346,3.053559877781425
Lanczos3,0.2,3,35.887324224263494,35.88732422409247
Lanczos3,0.2,4,6.283779741712571,6.283779785087666
Lanczos3,0.2,5,90.33679464904857,90.33679464904203
Lanczos3,0.2,6,13.2216213902769,13.57955530305881
Lanczos3,0.2,7,9772.613542068062,9772.613541737954
Lanczos3,0.2,8,6.154588119040797,6.154588119041631
Lanczos3,0.2,9,16.913495630093234,16.913495600167163
Lanczos3,0.2,10,5309.487898780637,5309.487898809083
Lanczos3,0.2,11,2.7809183082867275,2.780918308283979
Lanczos3,0.2,12,58.29879493434452,58.29879493434444
Lanczos3,0.2,13,5.827551525612938,5.827551525612897
Lanczos3,0.2,14,9.553294710540948,9.553264162372123
Lanczos3,0.2,15,9.15980213908617,9.159367872875269
Lanczos3,0.2,16,2.7857072312356386,2.785707231234694
Lanczos3,0.2,17,2.743597649523889,2.743597649526772
Lanczos3,0.2,18,1.9297333439974669,1.9297333439768216
Lanczos3,0.2,19,45.691015398834466,45.69101539883444
Lanczos3,0.3,0,50.41924406852337,50.41924406852338
Lanczos3,0.3,1,100.28450677461599,100.28450677461603
Lanczos3,0.3,2,3.1993840707112926,3.199384070712376
Lanczos3,0.3,3,2.9846354914202484,2.984635491421596
Lanczos3,0.3,4,15103.316801730452,15103.316801699548
Lanczos3,0.3,5,3.6368930273176554,3.6368930267328734
Lanczos3,0.3,6,3.4577282666042928,3.4577282666046085
Lanczos3,0.3,7,1.6325197421603004,1.6325197421593438
Lanczos3,0.3,8,3.957921261444562,3.957921261446122
Lanczos3,0.3,9,37.288991257153896,37.28899125715336
Lanczos3,0.3,10,4844.07008223543,4844.070082193654
Lanczos3,0.3,11,0.736305620336515,0.7363056203365619
Lanczos3,0.3,12,3.2181969867313693,3.2181969867320186
Lanczos3,0.3,13,14.342843035378019,14.342843035374164
Lanczos3,0.3,14,1.626704529122515,1.6267045291225186
Lanczos3,0.3,15,47.969432130794296,47.96943213079412
Lanczos3,0.3,16,12.682268596685795,12.682268596691586
Lanczos3,0.3,17,6.269696011869824,6.269696011873591
Lanczos3,0.3,18,2.968341540687828,2.9683415406868066
Lanczos3,0.3,19,7.155619648519496,7.1556196485195
Gauss1,0.0,0,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,1,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,2,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,3,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,4,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,5,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,6,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,7,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,8,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,9,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,10,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,11,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,12,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,13,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,14,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,15,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,16,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,17,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,18,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.0,19,2.9281899377521755e-10,2.9281899377521755e-10
Gauss1,0.1,0,0.043000754437958616,0.0430007544379586
Gauss1,0.1,1,0.030128355034208975,0.030128355034209
Gauss1,0.1,2,0.0186361625037437,0.0186361625037436
Gauss1,0.1,3,0.03466949988995252,0.0346694998899525
Gauss1,0.1,4,0.09351805273045474,0.0935180527304547
Gauss1,0.1,5,0.04048829031132562,0.0404882903113255
Gauss1,0.1,6,0.02787761421205426,0.0278776142120542
Gauss1,0.1,7,0.037953822633427045,0.037953822633427
Gauss1,0.1,8,0.050752423231027764,0.0507524232310277
Gauss1,0.1,9,0.05003723424907399,0.0500372342490739
Gauss1,0.1,10,0.013121809682105991,0.0131218096821059
Gauss1,0.1,11,0.08712414675436894,0.0871241467543689
Gauss1,0.1,12,0.058436251624497074,0.058436251624497
Gauss1,0.1,13,0.029595627146313058,0.029595627146313
Gauss1,0.1,14,0.022893424704487526,0.0228934247044875
Gauss1,0.1,15,0.03520263271206742,0.0352026327120674
Gauss1,0.1,16,0.03634380388546529,0.0363438038854652
Gauss1,0.1,17,0.008761057482771794,0.0087610574827717
Gauss1,0.1,18,0.02985207558848377,0.0298520755884837
Gauss1,0.1,19,0.027395724757610825,0.0273957247576107
Gauss1,0.2,0,0.08742455079161092,0.0874245507916108
Gauss1,0.2,1,0.05400038815340311,0.0540003881534031
Gauss1,0.2,2,0.01216773261922292,0.0121677326192229
Gauss1,0.2,3,0.07611665412739661,0.0761166541273966
Gauss1,0.2,4,0.05169840706908915,0.0516984070690891
Gauss1,0.2,5,0.03427712454034845,0.0342771245403484
Gauss1,0.2,6,0.07401020978886273,0.0740102097888627
Gauss1,0.2,7,0.034222195472581166,0.0342221954725811
Gauss1,0.2,8,0.03545025098392111,0.0354502509839211
Gauss1,0.2,9,0.06007366708468283,0.0600736670846828
Gauss1,0.2,10,0.051918815815153105,0.0519188158151531
Gauss1,0.2,11,0.03035813374353884,0.0303581337435388
Gauss1,0.2,12,0.044903682640303234,0.0449036826403032
Gauss1,0.2,13,0.06091079044686672,0.0609107904468667
Gauss1,0.2,14,0.02363365987294683,0.0236336598729468
Gauss1,0.2,15,0.07895299117219036,0.0789529911721903
Gauss1,0.2,16,0.08614175578165789,0.0861417557816578
Gauss1,0.2,17,0.12052606167696826,0.1205260616769682
Gauss1,0.2,18,0.03442338742365945,0.0344233874236594
Gauss1,0.2,19,0.03441106282319042,0.0344110628231904
Gauss1,0.3,0,0.11229383262799317,0.1122938326279933
Gauss1,0.3,1,0.0757923112521539,0.0757923112521539
Gauss1,0.3,2,0.04725027877335203,0.0472502787733519
Gauss1,0.3,3,0.16252011504007063,0.1625201150400706
Gauss1,0.3,4,0.1069819218656339,0.1069819218656338
Gauss1,0.3,5,0.1376066151025563,0.1376066151025563
Gauss1,0.3,6,0.05913819691477459,0.0591381969147745
Gauss1,0.3,7,0.04665858341392443,0.0466585834139244
Gauss1,0.3,8,0.09207575118159798,0.092075751181598
Gauss1,0.3,9,0.06544673265220487,0.0654467326522048
Gauss1,0.3,10,0.09741813913781552,0.0974181391378156
Gauss1,0.3,11,0.09592213038846753,0.0959221303884675
Gauss1,0.3,12,0.10925975659240893,0.1092597565924089
Gauss1,0.3,13,0.08263717376840006,0.0826371737684
Gauss1,0.3,14,0.046512053737586184,0.0465120537375861
Gauss1,0.3,15,0.06725820462206515,0.067258204622065
Gauss1,0.3,16,0.0810760731445286,0.0810760731445286
Gauss1,0.3,17,0.05764603531127097,0.0576460353112709
Gauss1,0.3,18,0.09429584946423014,0.0942958494642301
Gauss1,0.3,19,0.12486425716627948,0.1248642571662795
Gauss2,0.0,0,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,1,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,2,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,3,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,4,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,5,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,6,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,7,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,8,1.1764035596728734e-09,1.1764035458535242e-09
Gauss2,0.0,9,1.1764035596728734e-09,1.1764035458535242e-09
